coverage_95_mean,coverage_95_std,dataset,gaussian_nll_mean,gaussian_nll_std,mae_mean,mae_std,mask,model,nrmse_mean,nrmse_std,observed_rmse_mean,observed_rmse_std,parameters,ratio,relative_l2_mean,relative_l2_std,rmse_mean,rmse_std,seeds,uncertainty_error_spearman_mean,uncertainty_error_spearman_std
,,synthetic_wave,,,0.5064914921919504,0.3251321420601794,random,geo_nft,1.3716118335723877,0.9494364256926169,0.06598697106043498,0.015141809759976102,2263,0.01,1.3716300924619038,0.9494489478481111,0.7671099404493967,0.5311544554634241,3,,
,,synthetic_wave,,,0.3114638924598694,0.005428211573795715,random,inr,0.7384912371635437,0.013002042969977751,1.3384243876165178e-07,9.717290333992908e-09,8641,0.01,0.738501230875651,0.013002319221223751,0.41297776500384015,0.007209372335857955,3,,
,,synthetic_wave,,,0.21849575638771057,0.012134644718140962,random,neural_cp,0.5096491575241089,0.024186792418974538,0.2039790948232015,0.006209670825353307,3760,0.01,0.5096559325853983,0.024187239324073174,0.28500546018282574,0.0135241521097893,3,,
,,synthetic_wave,,,0.20752725501855215,0.002763976293443843,random,spectral_cp,0.47895633180936176,0.011840689464268226,0.20913880070050558,0.013844472050197539,200,0.01,0.47896280884742737,0.011840876509650463,0.2678423623243968,0.006669245583314472,3,,
,,synthetic_wave,,,0.2333264003197352,0.016853437951696387,random,wrong_spectral_cp,0.554128110408783,0.031492465971848016,0.20341303944587708,0.010406317210289064,228,0.01,0.5541356007258097,0.03149291877897193,0.30987704793612164,0.017559724580786865,3,,
0.6107383171717325,0.0060935642733341315,synthetic_wave,1.4921817779541016,0.06454054357478571,0.19564826786518097,0.0012934238697936361,random,bayesian_spectral_tensor,0.4474477370580037,0.0032788144925065227,0.2241832117239634,0.0033581116461045787,192,0.05,0.4474540154139201,0.0032789179325393306,0.25035669406255084,0.0017812557747557225,3,0.09053496768077214,0.015484902869381196
,,synthetic_wave,,,0.43910218278567,0.000333682173854763,random,cp,0.9999984304110209,1.8477471925851248e-05,0.5505503217379252,0.006399573778478249,420,0.05,1.0000125169754028,1.8257711221686398e-05,0.5595214565594991,0.000438719113631844,3,,
,,synthetic_wave,,,0.11601476619640987,0.0021428881845671714,random,geo_nft,0.26015999913215637,0.004898726562309127,0.12909899652004242,0.0027978166920411738,2263,0.05,0.26016364494959515,0.004898780908935948,0.1455645610888799,0.0026802986334673617,3,,
,,synthetic_wave,,,0.1711488018433253,0.005971932238080627,random,inr,0.40654969215393066,0.014826261651259972,1.4210383388520617e-07,6.135445665854862e-10,8641,0.05,0.40655537446339923,0.014826530806409017,0.2274738351504008,0.00830679771751752,3,,
,,synthetic_wave,,,0.18771125872929892,0.00032627037884559626,random,neural_cp,0.42596157391866046,0.0008998418295470502,0.2345994512240092,0.003779381980004698,3760,0.05,0.42596762379010517,0.0008998418295470502,0.2383347898721695,0.0003557214039009838,3,,
